,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,998685.2943143921
2,2021-10-05,1001100.7115760957
3,2021-10-06,1002687.308037964
4,2021-10-07,1009895.81178986
5,2021-10-08,1010802.7132840237
6,2021-10-11,1001523.0214424405
7,2021-10-12,997020.567683804
8,2021-10-13,994107.3982955365
9,2021-10-14,1013872.2095585293
10,2021-10-15,1026454.9620212751
11,2021-10-18,1022811.6466316037
12,2021-10-19,1029414.6569397245
13,2021-10-20,1037091.4746614957
14,2021-10-21,1038061.1204096952
15,2021-10-22,1047119.3041895871
16,2021-10-25,1050019.4064179503
17,2021-10-26,1048683.1134907994
18,2021-10-27,1021308.6945690428
19,2021-10-28,1014920.8135031896
20,2021-10-29,1020907.153607739
21,2021-11-01,1021019.1978160902
22,2021-11-02,1015301.970840981
23,2021-11-03,1014886.0770238005
24,2021-11-04,1015806.3176342283
25,2021-11-05,1035099.8858556943
26,2021-11-08,1046138.1300950742
27,2021-11-09,1030717.386240376
28,2021-11-10,1036079.3413949667
29,2021-11-11,1024149.5589341855
30,2021-11-12,1028324.0950762831
31,2021-11-15,1029495.4192727552
32,2021-11-16,1029386.8419345937
33,2021-11-17,999144.8525734334
34,2021-11-18,991434.0134244543
35,2021-11-19,980239.0197413221
36,2021-11-22,967690.664709767
37,2021-11-23,978034.053639668
38,2021-11-24,990549.2326581693
39,2021-11-26,953704.7767671323
40,2021-11-29,949409.3883317686
41,2021-11-30,931800.416476605
42,2021-12-01,915629.3309892393
43,2021-12-02,945144.7466844297
44,2021-12-03,940963.6359132505
45,2021-12-06,966786.9217866636
46,2021-12-07,987739.4165071226
47,2021-12-08,992232.3455690122
48,2021-12-09,999093.287318585
49,2021-12-10,1006268.5676912046
50,2021-12-13,998761.0510209776
51,2021-12-14,997620.9805940366
52,2021-12-15,1004159.5458940244
53,2021-12-16,1009394.1298631406
54,2021-12-17,991482.3866227842
55,2021-12-20,977297.950801251
56,2021-12-21,1002331.77830827
57,2021-12-22,1011699.9902452207
58,2021-12-23,1010406.8576158262
59,2021-12-27,1015407.8423570371
60,2021-12-28,1018800.6622499204
61,2021-12-29,1018201.1746705747
62,2021-12-30,1018063.4287294126
63,2021-12-31,1015976.7653917051
64,2022-01-03,1035534.0441545225
65,2022-01-04,1044484.8133882261
66,2022-01-05,1037149.7256807066
67,2022-01-06,1037445.5117982603
68,2022-01-07,1033448.8183778501
69,2022-01-10,1019847.1205247617
70,2022-01-11,1028168.1052736021
71,2022-01-12,1027966.2965348936
72,2022-01-13,1027258.8576997495
73,2022-01-14,1019120.4782670713
74,2022-01-18,1012215.0779145933
75,2022-01-19,1004389.516299603
76,2022-01-20,999975.7169069028
77,2022-01-21,973695.059268353
78,2022-01-24,962907.2910188413
79,2022-01-25,976766.8738435484
80,2022-01-26,987882.250247357
81,2022-01-27,984387.3733628965
82,2022-01-28,1050609.852313397
83,2022-01-31,1052889.1752122617
84,2022-02-01,1075416.8581117368
85,2022-02-02,1084400.703738568
86,2022-02-03,1074199.145129559
87,2022-02-04,1067157.686725018
88,2022-02-07,1065623.5151323057
89,2022-02-08,1075690.182139752
90,2022-02-09,1085582.0237535215
91,2022-02-10,1069885.996959088
92,2022-02-11,1060264.0095552183
93,2022-02-14,1061079.9820970274
94,2022-02-15,1075444.049579022
95,2022-02-16,1077056.1551393247
96,2022-02-17,1068178.3869050718
97,2022-02-18,1061227.4560273862
98,2022-02-22,1052633.2305711485
99,2022-02-23,1032025.6222337461
100,2022-02-24,1033124.218165753
101,2022-02-25,1050140.4593156553
102,2022-02-28,1039917.0135072446
103,2022-03-01,1000651.9214738584
104,2022-03-02,1003859.8464235044
105,2022-03-03,1003058.4055970884
106,2022-03-04,980076.467181561
107,2022-03-07,934998.2615083433
108,2022-03-08,933361.603976605
109,2022-03-09,967282.0674775816
110,2022-03-10,965670.9891313291
111,2022-03-11,959398.1686967588
112,2022-03-14,977405.5200837827
113,2022-03-15,999726.4205507017
114,2022-03-16,1021079.5909761167
115,2022-03-17,1033986.3106950498
116,2022-03-18,1053883.1376527525
117,2022-03-21,1044811.7797502256
118,2022-03-22,1051516.6544374204
119,2022-03-23,1031947.2649339414
120,2022-03-24,1043744.5792115903
121,2022-03-25,1049647.9445527769
122,2022-03-28,1057742.285983441
123,2022-03-29,1080355.9489778257
124,2022-03-30,1070444.0590318418
125,2022-03-31,1059506.0997194028
126,2022-04-01,1074586.24138963
127,2022-04-04,1078185.4054292417
128,2022-04-05,1070990.1064790464
129,2022-04-06,1053895.5499757505
130,2022-04-07,1047202.3322862363
131,2022-04-08,1053239.902667401
132,2022-04-11,1036646.1788209653
133,2022-04-12,1024956.3371309019
134,2022-04-13,1039390.6376146055
