price,signals,cash,positions,wealth
191.63,1,808.37,191.63,1000.0
191.62,1,616.75,383.24,999.99
191.59,1,425.15999999999997,574.77,999.93
191.57,1,233.58999999999997,766.28,999.8699999999999
191.59,1,41.99999999999997,957.95,999.95
191.62,0,41.99999999999997,958.1,1000.1
191.58,0,41.99999999999997,957.9000000000001,999.9000000000001
191.54,0,41.99999999999997,957.6999999999999,999.6999999999999
191.59,0,41.99999999999997,957.95,999.95
191.56,0,41.99999999999997,957.8,999.8
191.56,0,41.99999999999997,957.8,999.8
191.59,0,41.99999999999997,957.95,999.95
191.56,0,41.99999999999997,957.8,999.8
191.59,0,41.99999999999997,957.95,999.95
191.56,0,41.99999999999997,957.8,999.8
191.59,0,41.99999999999997,957.95,999.95
191.62,0,41.99999999999997,958.1,1000.1
191.53,0,41.99999999999997,957.65,999.65
191.52,0,41.99999999999997,957.6,999.6
191.56,0,41.99999999999997,957.8,999.8
191.56,-1,233.55999999999997,766.24,999.8
191.56,-1,425.12,574.6800000000001,999.8000000000001
191.54,-1,616.66,383.08,999.74
191.5,-1,808.16,191.5,999.66
191.54,-1,999.6999999999999,0.0,999.6999999999999
191.56,1,808.1399999999999,191.56,999.6999999999998
191.55,1,616.5899999999999,383.1,999.6899999999999
191.54,-1,808.1299999999999,191.54,999.6699999999998
191.54,-1,999.6699999999998,0.0,999.6699999999998
191.59,0,999.6699999999998,0.0,999.6699999999998
191.65,1,808.0199999999999,191.65,999.6699999999998
191.71,-1,999.7299999999999,0.0,999.7299999999999
191.78,1,807.9499999999999,191.78,999.7299999999999
191.85,-1,999.8,0.0,999.8
191.81,0,999.8,0.0,999.8
191.82,0,999.8,0.0,999.8
191.94,0,999.8,0.0,999.8
191.9,1,807.9,191.9,999.8
191.91,1,615.99,383.82,999.81
191.78,1,424.21000000000004,575.34,999.5500000000001
191.82,-1,616.03,383.64,999.67
191.83,-1,807.86,191.83,999.69
191.89,0,807.86,191.89,999.75
191.91,0,807.86,191.91,999.77
191.93,0,807.86,191.93,999.79
191.88,1,615.98,383.76,999.74
191.88,1,424.1,575.64,999.74
191.88,-1,615.98,383.76,999.74
191.87,1,424.11,575.61,999.72
191.84,-1,615.95,383.68,999.6300000000001
191.8,-1,807.75,191.8,999.55
191.8,-1,999.55,0.0,999.55
191.72,0,999.55,0.0,999.55
191.67,0,999.55,0.0,999.55
191.72,0,999.55,0.0,999.55
191.64,0,999.55,0.0,999.55
191.66,0,999.55,0.0,999.55
191.66,0,999.55,0.0,999.55
191.67,0,999.55,0.0,999.55
191.63,0,999.55,0.0,999.55
191.64,0,999.55,0.0,999.55
191.66,1,807.89,191.66,999.55
191.66,1,616.23,383.32,999.55
191.66,1,424.57000000000005,574.98,999.5500000000001
191.63,-1,616.2,383.26,999.46
191.65,1,424.55000000000007,574.95,999.5000000000001
191.63,1,232.92000000000007,766.52,999.44
191.56,1,41.36000000000007,957.8,999.1600000000001
191.59,-1,232.95000000000007,766.36,999.3100000000001
191.61,1,41.34000000000006,958.0500000000001,999.3900000000001
191.65,0,41.34000000000006,958.25,999.59
191.65,0,41.34000000000006,958.25,999.59
191.63,-1,232.97000000000006,766.52,999.49
191.59,1,41.38000000000005,957.95,999.3300000000002
191.63,-1,233.01000000000005,766.52,999.53
191.6,-1,424.61,574.8,999.41
191.6,-1,616.21,383.2,999.4100000000001
191.59,-1,807.8000000000001,191.59,999.3900000000001
191.59,-1,999.3900000000001,0.0,999.3900000000001
191.6,1,807.7900000000001,191.6,999.3900000000001
191.55,1,616.24,383.1,999.34
191.52,1,424.72,574.5600000000001,999.2800000000001
191.47,-1,616.19,382.94,999.1300000000001
191.48,-1,807.6700000000001,191.48,999.1500000000001
191.5,1,616.1700000000001,383.0,999.1700000000001
191.47,1,424.70000000000005,574.41,999.11
191.46,1,233.24000000000004,765.84,999.08
191.45,1,41.79000000000005,957.25,999.0400000000001
191.44,0,41.79000000000005,957.2,998.9900000000001
191.36,-1,233.15000000000006,765.44,998.5900000000001
191.41,-1,424.56000000000006,574.23,998.7900000000001
191.43,1,233.13000000000005,765.72,998.8500000000001
191.38,0,233.13000000000005,765.52,998.6500000000001
191.4,1,41.73000000000005,957.0,998.73
191.42,0,41.73000000000005,957.0999999999999,998.8299999999999
191.45,0,41.73000000000005,957.25,998.98
191.46,-1,233.19000000000005,765.84,999.0300000000001
191.45,-1,424.64000000000004,574.3499999999999,998.99
191.45,1,233.19000000000005,765.8,998.99
191.48,0,233.19000000000005,765.92,999.11
191.5,1,41.690000000000055,957.5,999.19
191.55,-1,233.24000000000007,766.2,999.44
191.66,-1,424.9000000000001,574.98,999.8800000000001
191.61,1,233.29000000000008,766.44,999.7300000000001
191.62,-1,424.9100000000001,574.86,999.7700000000001
191.56,-1,616.47,383.12,999.59
191.67,1,424.80000000000007,575.01,999.8100000000001
191.59,1,233.21000000000006,766.36,999.57
191.63,-1,424.84000000000003,574.89,999.73
191.59,1,233.25000000000003,766.36,999.61
191.61,1,41.640000000000015,958.0500000000001,999.69
191.61,0,41.640000000000015,958.0500000000001,999.69
191.5,-1,233.14000000000001,766.0,999.14
191.45,0,233.14000000000001,765.8,998.9399999999999
191.46,0,233.14000000000001,765.84,998.98
191.45,1,41.690000000000026,957.25,998.94
191.45,-1,233.14000000000001,765.8,998.9399999999999
191.35,-1,424.49,574.05,998.54
191.31,-1,615.8,382.62,998.42
191.37,0,615.8,382.74,998.54
191.34,1,424.4599999999999,574.02,998.4799999999999
191.39,1,233.06999999999994,765.56,998.6299999999999
191.38,1,41.68999999999994,956.9,998.5899999999999
191.28,0,41.68999999999994,956.4,998.0899999999999
191.28,0,41.68999999999994,956.4,998.0899999999999
191.28,0,41.68999999999994,956.4,998.0899999999999
191.23,0,41.68999999999994,956.15,997.8399999999999
191.24,0,41.68999999999994,956.2,997.89
191.27,0,41.68999999999994,956.35,998.04
191.2,0,41.68999999999994,956.0,997.6899999999999
191.25,-1,232.93999999999994,765.0,997.9399999999999
191.22,-1,424.15999999999997,573.66,997.8199999999999
191.27,-1,615.43,382.54,997.97
191.23,1,424.19999999999993,573.6899999999999,997.8899999999999
191.31,1,232.88999999999993,765.24,998.1299999999999
191.34,1,41.549999999999926,956.7,998.25
191.32,0,41.549999999999926,956.5999999999999,998.1499999999999
191.27,0,41.549999999999926,956.35,997.9
191.3,0,41.549999999999926,956.5,998.05
191.29,0,41.549999999999926,956.4499999999999,997.9999999999999
191.22,0,41.549999999999926,956.1,997.65
191.2,-1,232.74999999999991,764.8,997.5499999999998
191.15,0,232.74999999999991,764.6,997.3499999999999
191.21,-1,423.9599999999999,573.63,997.5899999999999
191.24,-1,615.1999999999999,382.48,997.68
191.22,0,615.1999999999999,382.44,997.6399999999999
191.22,-1,806.42,191.22,997.64
191.25,-1,997.67,0.0,997.67
