price,signals,cash,positions,wealth
177.94,1,822.06,177.94,1000.0
177.94,-1,1000.0,0.0,1000.0
177.92,0,1000.0,0.0,1000.0
177.94,0,1000.0,0.0,1000.0
177.94,0,1000.0,0.0,1000.0
177.91,1,822.09,177.91,1000.0
177.94,-1,1000.03,0.0,1000.03
177.93,0,1000.03,0.0,1000.03
177.91,1,822.12,177.91,1000.03
177.93,1,644.19,355.86,1000.0500000000001
177.97,1,466.22,533.91,1000.13
177.93,1,288.29,711.72,1000.01
177.94,1,110.35000000000002,889.7,1000.0500000000001
177.9,0,110.35000000000002,889.5,999.85
177.91,-1,288.26,711.64,999.9
177.95,1,110.31,889.75,1000.06
177.9,0,110.31,889.5,999.81
177.87,0,110.31,889.35,999.6600000000001
177.9,0,110.31,889.5,999.81
177.91,-1,288.22,711.64,999.86
177.88,-1,466.1,533.64,999.74
177.9,-1,644.0,355.8,999.8
177.88,-1,821.88,177.88,999.76
177.91,-1,999.79,0.0,999.79
177.93,1,821.8599999999999,177.93,999.79
177.85,1,644.0099999999999,355.7,999.7099999999998
177.82,-1,821.8299999999999,177.82,999.6499999999999
177.84,-1,999.67,0.0,999.67
177.77,0,999.67,0.0,999.67
177.79,0,999.67,0.0,999.67
177.79,0,999.67,0.0,999.67
177.84,0,999.67,0.0,999.67
177.96,0,999.67,0.0,999.67
177.94,0,999.67,0.0,999.67
177.91,0,999.67,0.0,999.67
178.0,0,999.67,0.0,999.67
177.97,0,999.67,0.0,999.67
177.95,0,999.67,0.0,999.67
177.94,0,999.67,0.0,999.67
178.0,1,821.67,178.0,999.67
178.02,1,643.65,356.04,999.69
177.98,1,465.66999999999996,533.9399999999999,999.6099999999999
178.0,1,287.66999999999996,712.0,999.67
177.93,1,109.73999999999995,889.6500000000001,999.3900000000001
177.94,0,109.73999999999995,889.7,999.44
177.98,0,109.73999999999995,889.9,999.6399999999999
178.03,0,109.73999999999995,890.15,999.8899999999999
178.05,0,109.73999999999995,890.25,999.99
178.04,0,109.73999999999995,890.1999999999999,999.9399999999998
178.05,0,109.73999999999995,890.25,999.99
178.07,0,109.73999999999995,890.3499999999999,1000.0899999999999
178.07,0,109.73999999999995,890.3499999999999,1000.0899999999999
178.06,0,109.73999999999995,890.3,1000.04
178.1,0,109.73999999999995,890.5,1000.24
178.08,0,109.73999999999995,890.4000000000001,1000.1400000000001
178.09,0,109.73999999999995,890.45,1000.19
178.1,0,109.73999999999995,890.5,1000.24
178.13,0,109.73999999999995,890.65,1000.3899999999999
178.12,0,109.73999999999995,890.6,1000.3399999999999
178.12,0,109.73999999999995,890.6,1000.3399999999999
178.1,0,109.73999999999995,890.5,1000.24
178.11,-1,287.84999999999997,712.44,1000.29
178.08,1,109.76999999999995,890.4000000000001,1000.1700000000001
178.07,-1,287.8399999999999,712.28,1000.1199999999999
178.07,-1,465.9099999999999,534.21,1000.1199999999999
178.03,-1,643.9399999999999,356.06,1000.0
178.06,1,465.87999999999994,534.1800000000001,1000.06
178.06,1,287.81999999999994,712.24,1000.06
178.03,1,109.78999999999994,890.15,999.9399999999999
178.05,0,109.78999999999994,890.25,1000.04
178.06,0,109.78999999999994,890.3,1000.0899999999999
178.03,0,109.78999999999994,890.15,999.9399999999999
178.03,0,109.78999999999994,890.15,999.9399999999999
178.04,0,109.78999999999994,890.1999999999999,999.9899999999999
178.06,0,109.78999999999994,890.3,1000.0899999999999
178.03,0,109.78999999999994,890.15,999.9399999999999
177.98,0,109.78999999999994,889.9,999.6899999999999
177.98,0,109.78999999999994,889.9,999.6899999999999
177.97,-1,287.75999999999993,711.88,999.6399999999999
178.01,-1,465.7699999999999,534.03,999.8
178.0,-1,643.77,356.0,999.77
177.97,-1,821.74,177.97,999.71
177.98,-1,999.72,0.0,999.72
177.97,0,999.72,0.0,999.72
178.0,0,999.72,0.0,999.72
177.99,0,999.72,0.0,999.72
177.97,0,999.72,0.0,999.72
177.93,0,999.72,0.0,999.72
177.91,0,999.72,0.0,999.72
177.99,0,999.72,0.0,999.72
178.0,1,821.72,178.0,999.72
177.98,1,643.74,355.96,999.7
178.02,-1,821.76,178.02,999.78
177.99,-1,999.75,0.0,999.75
178.0,0,999.75,0.0,999.75
177.97,0,999.75,0.0,999.75
177.91,1,821.84,177.91,999.75
177.9,-1,999.74,0.0,999.74
177.96,0,999.74,0.0,999.74
178.0,0,999.74,0.0,999.74
178.0,0,999.74,0.0,999.74
178.01,0,999.74,0.0,999.74
177.99,0,999.74,0.0,999.74
178.0,0,999.74,0.0,999.74
177.96,0,999.74,0.0,999.74
177.95,0,999.74,0.0,999.74
177.94,0,999.74,0.0,999.74
177.94,0,999.74,0.0,999.74
177.94,1,821.8,177.94,999.74
177.93,-1,999.73,0.0,999.73
177.9,0,999.73,0.0,999.73
177.89,0,999.73,0.0,999.73
177.88,0,999.73,0.0,999.73
177.86,0,999.73,0.0,999.73
177.9,0,999.73,0.0,999.73
177.83,0,999.73,0.0,999.73
177.76,1,821.97,177.76,999.73
177.75,-1,999.72,0.0,999.72
177.71,0,999.72,0.0,999.72
177.72,0,999.72,0.0,999.72
177.71,0,999.72,0.0,999.72
177.63,0,999.72,0.0,999.72
177.56,0,999.72,0.0,999.72
177.55,0,999.72,0.0,999.72
177.54,0,999.72,0.0,999.72
177.55,1,822.1700000000001,177.55,999.72
177.57,1,644.6000000000001,355.14,999.7400000000001
177.53,0,644.6000000000001,355.06,999.6600000000001
177.54,1,467.0600000000002,532.62,999.6800000000002
177.53,1,289.5300000000002,710.12,999.6500000000002
177.62,1,111.9100000000002,888.1,1000.0100000000002
177.63,0,111.9100000000002,888.15,1000.0600000000002
177.69,0,111.9100000000002,888.45,1000.3600000000002
177.72,0,111.9100000000002,888.6,1000.5100000000002
177.7,-1,289.6100000000002,710.8,1000.4100000000001
177.63,1,111.98000000000019,888.15,1000.1300000000001
177.62,0,111.98000000000019,888.1,1000.0800000000002
177.62,0,111.98000000000019,888.1,1000.0800000000002
177.62,0,111.98000000000019,888.1,1000.0800000000002
177.58,0,111.98000000000019,887.9000000000001,999.8800000000003
177.45,0,111.98000000000019,887.25,999.2300000000002
177.48,0,111.98000000000019,887.4,999.3800000000001
177.53,-1,289.5100000000002,710.12,999.6300000000002
177.49,0,289.5100000000002,709.96,999.4700000000003
177.51,-1,467.0200000000002,532.53,999.5500000000002
177.5,-1,644.5200000000002,355.0,999.5200000000002
177.51,-1,822.0300000000002,177.51,999.5400000000002
177.52,-1,999.5500000000002,0.0,999.5500000000002
177.48,0,999.5500000000002,0.0,999.5500000000002
177.44,0,999.5500000000002,0.0,999.5500000000002
177.49,0,999.5500000000002,0.0,999.5500000000002
177.44,1,822.1100000000001,177.44,999.5500000000002
177.43,-1,999.5400000000002,0.0,999.5400000000002
177.39,0,999.5400000000002,0.0,999.5400000000002
177.39,0,999.5400000000002,0.0,999.5400000000002
177.36,1,822.1800000000002,177.36,999.5400000000002
177.41,1,644.7700000000002,354.82,999.5900000000001
177.47,1,467.3000000000002,532.41,999.7100000000002
177.44,0,467.3000000000002,532.3199999999999,999.6200000000001
177.46,-1,644.7600000000002,354.92,999.6800000000003
177.47,-1,822.2300000000002,177.47,999.7000000000003
177.47,-1,999.7000000000003,0.0,999.7000000000003
177.47,1,822.2300000000002,177.47,999.7000000000003
177.46,0,822.2300000000002,177.46,999.6900000000003
177.46,1,644.7700000000002,354.92,999.6900000000003
177.46,-1,822.2300000000002,177.46,999.6900000000003
177.44,-1,999.6700000000003,0.0,999.6700000000003
177.41,0,999.6700000000003,0.0,999.6700000000003
177.42,0,999.6700000000003,0.0,999.6700000000003
177.47,0,999.6700000000003,0.0,999.6700000000003
177.47,1,822.2000000000003,177.47,999.6700000000003
177.45,0,822.2000000000003,177.45,999.6500000000003
177.44,1,644.7600000000002,354.88,999.6400000000002
177.4,1,467.36000000000024,532.2,999.5600000000003
177.41,1,289.9500000000003,709.64,999.5900000000003
177.44,1,112.51000000000028,887.2,999.7100000000003
177.42,0,112.51000000000028,887.0999999999999,999.6100000000001
177.41,0,112.51000000000028,887.05,999.5600000000002
177.41,0,112.51000000000028,887.05,999.5600000000002
177.44,0,112.51000000000028,887.2,999.7100000000003
177.5,0,112.51000000000028,887.5,1000.0100000000002
177.52,0,112.51000000000028,887.6,1000.1100000000004
177.51,-1,290.02000000000027,710.04,1000.0600000000002
177.49,-1,467.5100000000003,532.47,999.9800000000002
177.44,-1,644.9500000000003,354.88,999.8300000000003
177.42,-1,822.3700000000002,177.42,999.7900000000002
177.43,1,644.9400000000003,354.86,999.8000000000003
177.43,0,644.9400000000003,354.86,999.8000000000003
177.5,1,467.4400000000003,532.5,999.9400000000003
177.5,0,467.4400000000003,532.5,999.9400000000003
177.45,1,289.9900000000003,709.8,999.7900000000002
177.46,-1,467.4500000000003,532.38,999.8300000000003
177.5,-1,644.9500000000003,355.0,999.9500000000003
