price,signals,cash,positions,wealth
30.44,1,969.56,30.44,1000.0
30.43,0,969.56,30.43,999.9899999999999
30.43,1,939.13,60.86,999.99
30.41,1,908.72,91.23,999.95
30.41,1,878.3100000000001,121.64,999.95
30.41,0,878.3100000000001,121.64,999.95
30.41,1,847.9000000000001,152.05,999.95
30.39,1,817.5100000000001,182.34,999.8500000000001
30.41,1,787.1000000000001,212.87,999.9700000000001
30.41,-1,817.5100000000001,182.46,999.9700000000001
30.41,0,817.5100000000001,182.46,999.9700000000001
30.41,1,787.1000000000001,212.87,999.9700000000001
30.41,1,756.6900000000002,243.28,999.9700000000001
30.41,1,726.2800000000002,273.69,999.9700000000003
30.39,1,695.8900000000002,303.9,999.7900000000002
30.39,1,665.5000000000002,334.29,999.7900000000002
30.39,1,635.1100000000002,364.68,999.7900000000002
30.39,1,604.7200000000003,395.07,999.7900000000002
30.37,1,574.3500000000003,425.18,999.5300000000002
30.37,1,543.9800000000002,455.55,999.5300000000002
30.37,-1,574.3500000000003,425.18,999.5300000000002
30.37,-1,604.7200000000003,394.81,999.5300000000002
30.37,1,574.3500000000003,425.18,999.5300000000002
30.37,1,543.9800000000002,455.55,999.5300000000002
30.37,1,513.6100000000002,485.92,999.5300000000002
30.38,1,483.23000000000025,516.46,999.6900000000003
30.37,1,452.86000000000024,546.66,999.5200000000002
30.37,1,422.49000000000024,577.03,999.5200000000002
30.36,1,392.1300000000002,607.2,999.3300000000003
30.36,1,361.7700000000002,637.56,999.3300000000002
30.38,-1,392.1500000000002,607.6,999.7500000000002
30.38,-1,422.5300000000002,577.22,999.7500000000002
30.39,-1,452.9200000000002,547.02,999.9400000000002
30.4,1,422.5200000000002,577.6,1000.1200000000002
30.39,1,392.1300000000002,607.8,999.9300000000002
30.39,1,361.74000000000024,638.19,999.9300000000003
30.41,1,331.3300000000002,669.02,1000.3500000000001
30.43,1,300.9000000000002,699.89,1000.7900000000002
30.43,1,270.4700000000002,730.3199999999999,1000.7900000000002
30.43,1,240.0400000000002,760.75,1000.7900000000002
30.43,1,209.61000000000018,791.18,1000.7900000000002
30.41,1,179.2000000000002,821.07,1000.2700000000002
30.41,1,148.7900000000002,851.48,1000.2700000000002
30.41,0,148.7900000000002,851.48,1000.2700000000002
30.39,0,148.7900000000002,850.9200000000001,999.7100000000003
30.39,1,118.40000000000019,881.3100000000001,999.7100000000003
