price,signals,cash,positions,wealth
75.55,0,2000.0,0.0,2000.0
75.66,1,1923.5834,75.66,1999.2434
75.69,0,1923.5834,75.69,1999.2734
75.72,0,1923.5834,75.72,1999.3034
75.7,0,1923.5834,75.7,1999.2834
75.69,0,1923.5834,75.69,1999.2734
75.61,0,1923.5834,75.61,1999.1933999999999
75.55,0,1923.5834,75.55,1999.1334
75.59,0,1923.5834,75.59,1999.1734
75.66,0,1923.5834,75.66,1999.2434
75.7,0,1923.5834,75.7,1999.2834
75.69,0,1923.5834,75.69,1999.2734
75.64,0,1923.5834,75.64,1999.2234
75.61,0,1923.5834,75.61,1999.1933999999999
75.59,0,1923.5834,75.59,1999.1734
75.6,0,1923.5834,75.6,1999.1834
75.63,0,1923.5834,75.63,1999.2134
75.65,0,1923.5834,75.65,1999.2334
75.61,0,1923.5834,75.61,1999.1933999999999
75.59,0,1923.5834,75.59,1999.1734
75.67,0,1923.5834,75.67,1999.2534
75.64,0,1923.5834,75.64,1999.2234
75.61,0,1923.5834,75.61,1999.1933999999999
75.64,0,1923.5834,75.64,1999.2234
75.61,0,1923.5834,75.61,1999.1933999999999
75.53,0,1923.5834,75.53,1999.1134
75.53,0,1923.5834,75.53,1999.1134
75.59,0,1923.5834,75.59,1999.1734
75.61,0,1923.5834,75.61,1999.1933999999999
75.63,0,1923.5834,75.63,1999.2134
75.61,0,1923.5834,75.61,1999.1933999999999
75.62,0,1923.5834,75.62,1999.2033999999999
75.56,0,1923.5834,75.56,1999.1434
75.63,0,1923.5834,75.63,1999.2134
75.64,0,1923.5834,75.64,1999.2234
75.58,0,1923.5834,75.58,1999.1634
75.61,0,1923.5834,75.61,1999.1933999999999
75.64,0,1923.5834,75.64,1999.2234
75.65,0,1923.5834,75.65,1999.2334
75.73,0,1923.5834,75.73,1999.3134
75.64,0,1923.5834,75.64,1999.2234
75.66,0,1923.5834,75.66,1999.2434
75.69,0,1923.5834,75.69,1999.2734
75.7,0,1923.5834,75.7,1999.2834
75.64,0,1923.5834,75.64,1999.2234
75.61,0,1923.5834,75.61,1999.1933999999999
75.61,0,1923.5834,75.61,1999.1933999999999
75.62,0,1923.5834,75.62,1999.2033999999999
75.59,0,1923.5834,75.59,1999.1734
75.59,0,1923.5834,75.59,1999.1734
75.61,0,1923.5834,75.61,1999.1933999999999
75.67,0,1923.5834,75.67,1999.2534
75.67,0,1923.5834,75.67,1999.2534
75.77,0,1923.5834,75.77,1999.3534
75.77,0,1923.5834,75.77,1999.3534
75.8,0,1923.5834,75.8,1999.3834
75.83,0,1923.5834,75.83,1999.4134
75.81,0,1923.5834,75.81,1999.3934
75.81,0,1923.5834,75.81,1999.3934
75.75,0,1923.5834,75.75,1999.3334
75.78,0,1923.5834,75.78,1999.3634
75.81,0,1923.5834,75.81,1999.3934
75.81,0,1923.5834,75.81,1999.3934
75.84,0,1923.5834,75.84,1999.4234
75.8,0,1923.5834,75.8,1999.3834
75.83,0,1923.5834,75.83,1999.4134
75.87,0,1923.5834,75.87,1999.4533999999999
75.88,0,1923.5834,75.88,1999.4634
75.92,0,1923.5834,75.92,1999.5034
75.8,0,1923.5834,75.8,1999.3834
75.86,0,1923.5834,75.86,1999.4433999999999
75.84,0,1923.5834,75.84,1999.4234
75.89,0,1923.5834,75.89,1999.4734
75.94,0,1923.5834,75.94,1999.5234
75.95,0,1923.5834,75.95,1999.5334
75.89,0,1923.5834,75.89,1999.4734
75.8,0,1923.5834,75.8,1999.3834
