price,signals,cash,positions,wealth
843.18,0,2000.0,0.0,2000.0
844.0,0,2000.0,0.0,2000.0
843.37,0,2000.0,0.0,2000.0
843.81,0,2000.0,0.0,2000.0
842.82,0,2000.0,0.0,2000.0
843.3,1,1155.7,843.3,1999.0
843.12,0,1155.7,843.12,1998.8200000000002
843.23,0,1155.7,843.23,1998.93
842.94,0,1155.7,842.94,1998.64
843.4,0,1155.7,843.4,1999.1
843.92,0,1155.7,843.92,1999.62
843.82,0,1155.7,843.82,1999.52
843.81,0,1155.7,843.81,1999.51
843.13,0,1155.7,843.13,1998.83
842.56,0,1155.7,842.56,1998.26
842.47,0,1155.7,842.47,1998.17
843.27,0,1155.7,843.27,1998.97
843.77,0,1155.7,843.77,1999.47
844.0,0,1155.7,844.0,1999.7
843.64,0,1155.7,843.64,1999.3400000000001
843.81,0,1155.7,843.81,1999.51
843.98,0,1155.7,843.98,1999.68
843.51,0,1155.7,843.51,1999.21
843.98,0,1155.7,843.98,1999.68
844.2,0,1155.7,844.2,1999.9
843.85,0,1155.7,843.85,1999.5500000000002
844.08,0,1155.7,844.08,1999.7800000000002
844.14,0,1155.7,844.14,1999.8400000000001
843.99,0,1155.7,843.99,1999.69
843.64,0,1155.7,843.64,1999.3400000000001
843.33,0,1155.7,843.33,1999.0300000000002
843.11,0,1155.7,843.11,1998.81
843.24,0,1155.7,843.24,1998.94
843.45,0,1155.7,843.45,1999.15
843.58,0,1155.7,843.58,1999.2800000000002
843.21,0,1155.7,843.21,1998.91
843.84,0,1155.7,843.84,1999.54
844.18,0,1155.7,844.18,1999.88
843.49,0,1155.7,843.49,1999.19
843.46,0,1155.7,843.46,1999.16
843.08,0,1155.7,843.08,1998.7800000000002
843.43,0,1155.7,843.43,1999.13
843.7,0,1155.7,843.7,1999.4
843.88,0,1155.7,843.88,1999.58
843.77,0,1155.7,843.77,1999.47
843.55,0,1155.7,843.55,1999.25
843.66,0,1155.7,843.66,1999.3600000000001
843.25,0,1155.7,843.25,1998.95
842.95,0,1155.7,842.95,1998.65
843.27,0,1155.7,843.27,1998.97
843.97,0,1155.7,843.97,1999.67
843.79,0,1155.7,843.79,1999.49
843.32,0,1155.7,843.32,1999.02
843.32,0,1155.7,843.32,1999.02
843.56,0,1155.7,843.56,1999.26
843.31,0,1155.7,843.31,1999.01
843.5,0,1155.7,843.5,1999.2
843.17,0,1155.7,843.17,1998.87
843.51,0,1155.7,843.51,1999.21
843.26,0,1155.7,843.26,1998.96
844.1,0,1155.7,844.1,1999.8000000000002
844.22,0,1155.7,844.22,1999.92
844.43,0,1155.7,844.43,2000.13
844.36,0,1155.7,844.36,2000.06
843.85,0,1155.7,843.85,1999.5500000000002
844.41,-1,1999.1100000000001,0.0,1999.1100000000001
844.71,0,1999.1100000000001,0.0,1999.1100000000001
844.37,0,1999.1100000000001,0.0,1999.1100000000001
844.31,0,1999.1100000000001,0.0,1999.1100000000001
843.65,0,1999.1100000000001,0.0,1999.1100000000001
843.48,0,1999.1100000000001,0.0,1999.1100000000001
843.46,0,1999.1100000000001,0.0,1999.1100000000001
844.42,0,1999.1100000000001,0.0,1999.1100000000001
844.7,0,1999.1100000000001,0.0,1999.1100000000001
844.75,0,1999.1100000000001,0.0,1999.1100000000001
845.31,0,1999.1100000000001,0.0,1999.1100000000001
845.74,0,1999.1100000000001,0.0,1999.1100000000001
