price,signals,cash,positions,wealth
220.47,0,2000.0,0.0,2000.0
220.25,0,2000.0,0.0,2000.0
220.16,0,2000.0,0.0,2000.0
220.68,0,2000.0,0.0,2000.0
220.73,1,1779.27,220.73,2000.0
220.55,0,1779.27,220.55,1999.82
220.84,0,1779.27,220.84,2000.11
220.53,0,1779.27,220.53,1999.8
221.3,0,1779.27,221.3,2000.57
219.8,0,1779.27,219.8,1999.07
219.45,0,1779.27,219.45,1998.72
219.24,-1,1998.51,0.0,1998.51
218.67,0,1998.51,0.0,1998.51
219.08,1,1779.43,219.08,1998.51
219.07,0,1779.43,219.07,1998.5
218.55,0,1779.43,218.55,1997.98
218.9,0,1779.43,218.9,1998.3300000000002
219.03,0,1779.43,219.03,1998.46
218.78,0,1779.43,218.78,1998.21
218.5,0,1779.43,218.5,1997.93
218.75,0,1779.43,218.75,1998.18
218.81,0,1779.43,218.81,1998.24
218.78,0,1779.43,218.78,1998.21
218.4,0,1779.43,218.4,1997.8300000000002
218.4,0,1779.43,218.4,1997.8300000000002
217.78,0,1779.43,217.78,1997.21
217.88,0,1779.43,217.88,1997.31
217.44,0,1779.43,217.44,1996.8700000000001
217.68,1,1561.75,435.36,1997.1100000000001
217.97,0,1561.75,435.94,1997.69
218.59,0,1561.75,437.18,1998.93
218.21,0,1561.75,436.42,1998.17
218.14,0,1561.75,436.28,1998.03
218.1,0,1561.75,436.2,1997.95
217.68,0,1561.75,435.36,1997.1100000000001
217.55,0,1561.75,435.1,1996.85
217.56,0,1561.75,435.12,1996.87
217.16,0,1561.75,434.32,1996.07
217.34,0,1561.75,434.68,1996.43
217.22,0,1561.75,434.44,1996.19
216.78,0,1561.75,433.56,1995.31
217.56,0,1561.75,435.12,1996.87
217.35,0,1561.75,434.7,1996.45
217.51,0,1561.75,435.02,1996.77
217.21,0,1561.75,434.42,1996.17
217.44,0,1561.75,434.88,1996.63
217.25,-1,1779.0,217.25,1996.25
217.06,0,1779.0,217.06,1996.06
216.58,0,1779.0,216.58,1995.58
216.46,0,1779.0,216.46,1995.46
216.43,0,1779.0,216.43,1995.43
216.41,0,1779.0,216.41,1995.41
216.17,0,1779.0,216.17,1995.17
215.6,1,1563.4,431.2,1994.6000000000001
215.79,0,1563.4,431.58,1994.98
215.68,0,1563.4,431.36,1994.7600000000002
215.46,0,1563.4,430.92,1994.3200000000002
215.69,0,1563.4,431.38,1994.7800000000002
216.47,0,1563.4,432.94,1996.3400000000001
216.73,1,1346.67,650.1899999999999,1996.8600000000001
216.65,0,1346.67,649.95,1996.6200000000001
216.9,0,1346.67,650.7,1997.3700000000001
217.07,0,1346.67,651.21,1997.88
217.59,0,1346.67,652.77,1999.44
217.59,0,1346.67,652.77,1999.44
217.64,0,1346.67,652.92,1999.5900000000001
217.7,0,1346.67,653.0999999999999,1999.77
217.6,0,1346.67,652.8,1999.47
218.24,0,1346.67,654.72,2001.39
217.79,0,1346.67,653.37,2000.04
218.09,0,1346.67,654.27,2000.94
218.04,0,1346.67,654.12,2000.79
218.21,0,1346.67,654.63,2001.3000000000002
218.28,0,1346.67,654.84,2001.5100000000002
217.84,0,1346.67,653.52,2000.19
218.14,0,1346.67,654.42,2001.0900000000001
218.59,0,1346.67,655.77,2002.44
218.81,0,1346.67,656.4300000000001,2003.1000000000001
218.78,0,1346.67,656.34,2003.0100000000002
219.02,0,1346.67,657.0600000000001,2003.73
218.52,0,1346.67,655.5600000000001,2002.23
218.85,-1,1565.52,437.7,2003.22
219.15,0,1565.52,438.3,2003.82
219.46,0,1565.52,438.92,2004.44
219.69,0,1565.52,439.38,2004.9
219.16,0,1565.52,438.32,2003.84
219.0,0,1565.52,438.0,2003.52
218.86,0,1565.52,437.72,2003.24
218.67,0,1565.52,437.34,2002.86
218.91,0,1565.52,437.82,2003.34
218.79,0,1565.52,437.58,2003.1
218.87,0,1565.52,437.74,2003.26
218.88,0,1565.52,437.76,2003.28
218.84,0,1565.52,437.68,2003.2
218.87,0,1565.52,437.74,2003.26
219.09,0,1565.52,438.18,2003.7
219.02,0,1565.52,438.04,2003.56
219.31,0,1565.52,438.62,2004.1399999999999
218.72,0,1565.52,437.44,2002.96
218.71,1,1346.81,656.13,2002.94
218.53,0,1346.81,655.59,2002.4
218.47,0,1346.81,655.41,2002.2199999999998
217.72,0,1346.81,653.16,1999.9699999999998
217.4,-1,1564.21,434.8,1999.01
217.34,0,1564.21,434.68,1998.89
217.03,0,1564.21,434.06,1998.27
217.13,0,1564.21,434.26,1998.47
217.32,0,1564.21,434.64,1998.85
217.15,0,1564.21,434.3,1998.51
217.19,0,1564.21,434.38,1998.5900000000001
217.17,0,1564.21,434.34,1998.55
217.07,0,1564.21,434.14,1998.35
216.95,0,1564.21,433.9,1998.1100000000001
216.82,1,1347.39,650.46,1997.8500000000001
217.03,0,1347.39,651.09,1998.48
