price,signals,cash,positions,wealth
177.3,1,1821.7,177.3,1999.0
177.35,0,1821.7,177.35,1999.05
177.1,0,1821.7,177.1,1998.8
177.21,0,1821.7,177.21,1998.91
177.23,0,1821.7,177.23,1998.93
177.02,0,1821.7,177.02,1998.72
176.99,0,1821.7,176.99,1998.69
177.08,0,1821.7,177.08,1998.78
177.06,0,1821.7,177.06,1998.76
177.09,0,1821.7,177.09,1998.79
177.34,0,1821.7,177.34,1999.04
177.35,0,1821.7,177.35,1999.05
177.47,0,1821.7,177.47,1999.17
177.41,0,1821.7,177.41,1999.1100000000001
177.41,0,1821.7,177.41,1999.1100000000001
177.46,0,1821.7,177.46,1999.16
177.66,0,1821.7,177.66,1999.3600000000001
177.62,0,1821.7,177.62,1999.3200000000002
177.6,0,1821.7,177.6,1999.3
177.63,0,1821.7,177.63,1999.33
177.78,0,1821.7,177.78,1999.48
177.79,0,1821.7,177.79,1999.49
177.81,0,1821.7,177.81,1999.51
177.84,0,1821.7,177.84,1999.54
177.66,0,1821.7,177.66,1999.3600000000001
177.79,0,1821.7,177.79,1999.49
177.91,0,1821.7,177.91,1999.6100000000001
177.91,0,1821.7,177.91,1999.6100000000001
177.87,0,1821.7,177.87,1999.5700000000002
177.83,0,1821.7,177.83,1999.53
177.88,0,1821.7,177.88,1999.58
177.81,0,1821.7,177.81,1999.51
177.78,0,1821.7,177.78,1999.48
177.88,0,1821.7,177.88,1999.58
177.89,0,1821.7,177.89,1999.5900000000001
177.91,0,1821.7,177.91,1999.6100000000001
178.0,0,1821.7,178.0,1999.7
177.94,0,1821.7,177.94,1999.64
177.92,0,1821.7,177.92,1999.6200000000001
177.91,0,1821.7,177.91,1999.6100000000001
177.78,0,1821.7,177.78,1999.48
177.97,0,1821.7,177.97,1999.67
178.05,0,1821.7,178.05,1999.75
178.09,0,1821.7,178.09,1999.79
178.09,0,1821.7,178.09,1999.79
177.95,0,1821.7,177.95,1999.65
178.04,0,1821.7,178.04,1999.74
178.07,0,1821.7,178.07,1999.77
178.09,0,1821.7,178.09,1999.79
178.1,0,1821.7,178.1,1999.8
178.09,0,1821.7,178.09,1999.79
178.06,0,1821.7,178.06,1999.76
178.08,0,1821.7,178.08,1999.78
178.16,0,1821.7,178.16,1999.8600000000001
178.23,0,1821.7,178.23,1999.93
178.04,0,1821.7,178.04,1999.74
178.02,0,1821.7,178.02,1999.72
178.0,0,1821.7,178.0,1999.7
177.89,0,1821.7,177.89,1999.5900000000001
177.87,0,1821.7,177.87,1999.5700000000002
177.84,0,1821.7,177.84,1999.54
177.84,0,1821.7,177.84,1999.54
177.84,0,1821.7,177.84,1999.54
177.78,0,1821.7,177.78,1999.48
177.69,0,1821.7,177.69,1999.39
177.78,0,1821.7,177.78,1999.48
177.81,0,1821.7,177.81,1999.51
177.69,0,1821.7,177.69,1999.39
177.67,0,1821.7,177.67,1999.3700000000001
177.63,0,1821.7,177.63,1999.33
177.53,0,1821.7,177.53,1999.23
177.55,0,1821.7,177.55,1999.25
177.5,0,1821.7,177.5,1999.2
177.53,0,1821.7,177.53,1999.23
177.51,0,1821.7,177.51,1999.21
177.35,0,1821.7,177.35,1999.05
177.16,0,1821.7,177.16,1998.8600000000001
