price,signals,cash,positions,wealth
503.4,0,2000.0,0.0,2000.0
503.43,1,1495.57,503.43,1999.0
502.71,0,1495.57,502.71,1998.28
502.99,0,1495.57,502.99,1998.56
502.61,0,1495.57,502.61,1998.1799999999998
502.49,0,1495.57,502.49,1998.06
502.44,0,1495.57,502.44,1998.01
502.72,0,1495.57,502.72,1998.29
501.7,-1,1996.27,0.0,1996.27
501.92,0,1996.27,0.0,1996.27
502.68,0,1996.27,0.0,1996.27
503.03,1,1492.24,503.03,1995.27
503.36,0,1492.24,503.36,1995.6
503.7,0,1492.24,503.7,1995.94
503.1,0,1492.24,503.1,1995.3400000000001
502.41,0,1492.24,502.41,1994.65
503.23,0,1492.24,503.23,1995.47
503.36,0,1492.24,503.36,1995.6
503.38,0,1492.24,503.38,1995.62
503.68,0,1492.24,503.68,1995.92
503.78,0,1492.24,503.78,1996.02
504.02,0,1492.24,504.02,1996.26
504.53,1,986.71,1009.06,1995.77
504.86,0,986.71,1009.72,1996.43
504.66,0,986.71,1009.32,1996.0300000000002
504.69,0,986.71,1009.38,1996.0900000000001
504.43,0,986.71,1008.86,1995.5700000000002
504.34,0,986.71,1008.68,1995.3899999999999
504.41,0,986.71,1008.82,1995.5300000000002
503.86,0,986.71,1007.72,1994.43
503.88,0,986.71,1007.76,1994.47
503.78,0,986.71,1007.56,1994.27
504.23,0,986.71,1008.46,1995.17
504.74,0,986.71,1009.48,1996.19
504.56,0,986.71,1009.12,1995.83
504.74,0,986.71,1009.48,1996.19
504.51,0,986.71,1009.02,1995.73
504.31,0,986.71,1008.62,1995.33
503.79,0,986.71,1007.58,1994.29
503.95,0,986.71,1007.9,1994.6100000000001
503.47,1,482.24,1510.41,1992.65
504.2,0,482.24,1512.6,1994.84
504.44,0,482.24,1513.32,1995.56
504.89,0,482.24,1514.67,1996.91
504.75,0,482.24,1514.25,1996.49
504.44,0,482.24,1513.32,1995.56
504.72,-1,985.96,1009.44,1995.4
504.87,0,985.96,1009.74,1995.7
504.67,0,985.96,1009.34,1995.3000000000002
504.9,0,985.96,1009.8,1995.76
505.21,0,985.96,1010.42,1996.38
505.15,0,985.96,1010.3,1996.26
504.91,0,985.96,1009.82,1995.7800000000002
505.11,0,985.96,1010.22,1996.18
505.26,0,985.96,1010.52,1996.48
505.11,0,985.96,1010.22,1996.18
505.08,0,985.96,1010.16,1996.12
504.44,0,985.96,1008.88,1994.8400000000001
504.91,0,985.96,1009.82,1995.7800000000002
504.61,0,985.96,1009.22,1995.18
504.69,0,985.96,1009.38,1995.3400000000001
504.81,0,985.96,1009.62,1995.58
504.85,0,985.96,1009.7,1995.66
504.65,0,985.96,1009.3,1995.26
504.33,0,985.96,1008.66,1994.62
504.82,0,985.96,1009.64,1995.6
504.74,0,985.96,1009.48,1995.44
504.67,0,985.96,1009.34,1995.3000000000002
504.65,0,985.96,1009.3,1995.26
504.45,0,985.96,1008.9,1994.8600000000001
504.77,0,985.96,1009.54,1995.5
504.83,0,985.96,1009.66,1995.62
505.22,0,985.96,1010.44,1996.4
504.65,0,985.96,1009.3,1995.26
505.09,0,985.96,1010.18,1996.1399999999999
504.74,0,985.96,1009.48,1995.44
504.77,0,985.96,1009.54,1995.5
