price,signals,cash,positions,wealth
128.63,1,1870.37,128.63,1999.0
128.79,0,1870.37,128.79,1999.1599999999999
128.6,0,1870.37,128.6,1998.9699999999998
128.76,0,1870.37,128.76,1999.1299999999999
128.59,0,1870.37,128.59,1998.9599999999998
128.45,0,1870.37,128.45,1998.82
128.07,0,1870.37,128.07,1998.4399999999998
128.13,0,1870.37,128.13,1998.5
127.92,0,1870.37,127.92,1998.29
127.88,0,1870.37,127.88,1998.25
128.21,0,1870.37,128.21,1998.58
127.98,0,1870.37,127.98,1998.35
127.92,0,1870.37,127.92,1998.29
127.78,0,1870.37,127.78,1998.1499999999999
127.67,0,1870.37,127.67,1998.04
127.26,1,1742.11,254.52,1996.6299999999999
127.64,0,1742.11,255.28,1997.3899999999999
127.66,0,1742.11,255.32,1997.4299999999998
127.59,0,1742.11,255.18,1997.29
127.83,0,1742.11,255.66,1997.77
127.76,0,1742.11,255.52,1997.6299999999999
127.85,0,1742.11,255.7,1997.81
127.84,0,1742.11,255.68,1997.79
127.89,0,1742.11,255.78,1997.8899999999999
128.01,0,1742.11,256.02,1998.1299999999999
128.03,0,1742.11,256.06,1998.1699999999998
127.96,0,1742.11,255.92,1998.03
128.27,0,1742.11,256.54,1998.6499999999999
128.52,0,1742.11,257.04,1999.1499999999999
128.41,-1,1869.52,128.41,1997.93
128.39,0,1869.52,128.39,1997.9099999999999
128.14,0,1869.52,128.14,1997.6599999999999
128.31,0,1869.52,128.31,1997.83
128.46,0,1869.52,128.46,1997.98
128.49,0,1869.52,128.49,1998.01
128.5,0,1869.52,128.5,1998.02
128.56,0,1869.52,128.56,1998.08
128.81,0,1869.52,128.81,1998.33
128.59,0,1869.52,128.59,1998.11
128.63,0,1869.52,128.63,1998.15
128.59,0,1869.52,128.59,1998.11
128.77,0,1869.52,128.77,1998.29
128.88,0,1869.52,128.88,1998.4
128.74,0,1869.52,128.74,1998.26
128.93,0,1869.52,128.93,1998.45
128.78,0,1869.52,128.78,1998.3
128.87,0,1869.52,128.87,1998.3899999999999
128.93,0,1869.52,128.93,1998.45
128.79,0,1869.52,128.79,1998.31
128.89,0,1869.52,128.89,1998.4099999999999
128.92,0,1869.52,128.92,1998.44
128.89,0,1869.52,128.89,1998.4099999999999
128.96,0,1869.52,128.96,1998.48
129.28,0,1869.52,129.28,1998.8
129.16,0,1869.52,129.16,1998.68
129.1,0,1869.52,129.1,1998.62
129.25,0,1869.52,129.25,1998.77
129.17,0,1869.52,129.17,1998.69
129.51,0,1869.52,129.51,1999.03
129.34,0,1869.52,129.34,1998.86
129.56,0,1869.52,129.56,1999.08
129.47,0,1869.52,129.47,1998.99
129.54,1,1738.98,259.08,1998.06
129.63,0,1738.98,259.26,1998.24
129.34,0,1738.98,258.68,1997.66
129.53,0,1738.98,259.06,1998.04
129.5,0,1738.98,259.0,1997.98
129.22,0,1738.98,258.44,1997.42
129.34,0,1738.98,258.68,1997.66
128.92,0,1738.98,257.84,1996.82
129.27,0,1738.98,258.54,1997.52
129.25,0,1738.98,258.5,1997.48
129.28,0,1738.98,258.56,1997.54
129.27,0,1738.98,258.54,1997.52
129.2,0,1738.98,258.4,1997.38
129.29,0,1738.98,258.58,1997.56
129.17,0,1738.98,258.34,1997.32
